vnum,volcano_name,region,latitude,longitude,elevation_meters,is_monitored,nvews_threat,threat_score,alert_level,color_code,alert_score,color_score,obs_abbr,obs_fullname,volcano_url,volcano_image_url,hans_url,eq_count_30d,eq_max_mag_30d,eq_avg_mag_30d,eq_avg_depth_km,eq_shallow_count,composite_risk_score
311380,Roundtop,Alaska - Aleutians,54.7992,-163.5914,1871,False,Moderate Threat,3,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/volcanoes/volcinfo.php?volcname=Roundtop,https://avo.alaska.edu/images/dbimages/display/1108075619_31_3.jpg,,0,0.0,0.0,0.0,0,15.0
315010,Sanford,Alaska - Wrangell Volcanic Field,62.2133,-144.1295,4949,False,Moderate Threat,3,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/volcanoes/volcinfo.php?volcname=Sanford,https://avo.alaska.edu/images/dbimages/display/1107815249_91_3.jpg,,0,0.0,0.0,0.0,0,15.0
312220,Steller,Alaska - Alaska Peninsula,58.4301,-154.3903,2272,False,Moderate Threat,3,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/volcanoes/volcinfo.php?volcname=Steller,https://avo.alaska.edu/images/dbimages/display/1231461096_ak80.jpg,,0,0.0,0.0,0.0,0,15.0
311270,Vsevidof,Alaska - Aleutians,53.1256,-168.6937,2149,False,Moderate Threat,3,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/volcanoes/volcinfo.php?volcname=Vsevidof,https://avo.alaska.edu/images/dbimages/display/1108077836_58_3.jpg,,0,0.0,0.0,0.0,0,15.0
312100,Yantarni,Alaska - Alaska Peninsula,57.0179,-157.1864,1336,False,Moderate Threat,3,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/volcanoes/volcinfo.php?volcname=Yantarni,https://avo.alaska.edu/images/dbimages/display/1107911863_68_3.jpg,,0,0.0,0.0,0.0,0,15.0
311210,Yunaska,Alaska - Aleutians,52.649,-170.659,550,False,Moderate Threat,3,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/volcanoes/volcinfo.php?volcname=Yunaska,https://avo.alaska.edu/images/dbimages/display/1109190747_55_3.jpg,,0,0.0,0.0,0.0,0,15.0
326010,Soda Lakes,Nevada,39.51764,-118.880719,1415,False,Moderate Threat,3,,,0,0,calvo,California Volcano Observatory,https://www.usgs.gov/volcanoes/soda-lakes,https://volcanoes.usgs.gov/vsc/images/soda_lakes/SL-smithsonian_thumb.jpg,,0,0.0,0.0,0.0,0,15.0
322090,Mount Bachelor,Oregon,43.979,-121.688,2763,False,Moderate Threat,3,,,0,0,cvo,Cascades Volcano Observatory,https://www.usgs.gov/volcanoes/mount-bachelor,https://volcanoes.usgs.gov/vsc/images/mount_bachelor/bachelor-home.jpg,,0,0.0,0.0,0.0,0,15.0
332060,Haleakala,Hawaii,20.708,-156.25,3055,True,Moderate Threat,3,,,0,0,hvo,Hawaiian Volcano Observatory,https://www.usgs.gov/volcanoes/haleakal%C4%81,https://volcanoes.usgs.gov/vsc/images/haleakala/haleakala.jpg,,0,0.0,0.0,0.0,0,15.0
284150,Asuncion,Northern Mariana Islands,19.67,145.4,857,False,Moderate Threat,3,,,0,0,nmi,Northern Mariana Islands,https://www.usgs.gov/volcanoes/asuncion,https://volcanoes.usgs.gov/vsc/images/asuncion/Asuncion-home.png,,0,0.0,0.0,0.0,0,15.0
