query,value
amazon warehouse disease outbreak,11500
an ‘impossible’ disease outbreak in the alps,10450
sydney legionnaires disease outbreak,5800
sydney disease outbreak,650
india disease outbreak 2026,300
new disease outbreak 2026,250
disease outbreak in india,80
