query,value
disease outbreak news,100
who disease outbreak news,42
new disease outbreak,39
disease outbreak in india,20
amazon warehouse disease outbreak,14
legionnaires disease outbreak,13
india disease outbreak 2026,12
sydney disease outbreak,10
new disease outbreak 2026,10
foot and mouth disease outbreak,9
sydney legionnaires disease outbreak,8
an ‘impossible’ disease outbreak in the alps,0
