query,value
virus nipah,100
nipah,100
virus india,36
new virus,25
what is a virus,21
nipah virus outbreak,20
india nipah virus,17
virus in india,15
virus influenza,15
influenza,15
herpes virus,14
flu virus,13
total virus,13
nipah virus 2026,11
rsv virus,11
stomach virus,11
anti virus,10
computer virus,10
hpv virus,8
virus epstein barr,8
zika virus,7
new virus 2025,7
hiv,7
virus going around,6
virus scan,6
