date,diarrhea vomiting,food poisoning,stomach flu,dehydration symptoms,cholera symptoms,isPartial
2023-11-19,11,66,18,8,1,False
2023-11-26,10,63,20,8,1,False
2023-12-03,11,61,21,8,2,False
2023-12-10,12,64,24,9,1,False
2023-12-17,13,70,31,9,1,False
2023-12-24,14,81,36,9,1,False
2023-12-31,12,72,28,9,2,False
2024-01-07,11,57,21,8,2,False
2024-01-14,10,62,20,8,2,False
2024-01-21,11,66,22,9,2,False
2024-01-28,11,67,23,9,2,False
2024-02-04,11,67,23,9,2,False
2024-02-11,12,69,23,9,2,False
2024-02-18,12,73,22,9,2,False
2024-02-25,11,69,24,9,3,False
2024-03-03,12,66,23,9,1,False
2024-03-10,11,67,22,9,1,False
2024-03-17,11,69,20,9,1,False
2024-03-24,11,78,20,9,1,False
2024-03-31,12,73,20,10,2,False
2024-04-07,11,66,19,9,4,False
2024-04-14,11,66,16,10,2,False
2024-04-21,11,67,16,9,3,False
2024-04-28,10,74,18,10,2,False
2024-05-05,10,64,16,9,2,False
2024-05-12,10,68,16,10,1,False
2024-05-19,10,66,15,10,1,False
2024-05-26,11,67,16,11,1,False
2024-06-02,10,63,15,11,1,False
2024-06-09,10,64,14,10,4,False
2024-06-16,11,67,14,12,6,False
2024-06-23,10,65,14,12,4,False
2024-06-30,10,66,13,11,3,False
2024-07-07,10,63,14,13,3,False
2024-07-14,9,67,13,12,2,False
2024-07-21,10,62,13,10,2,False
2024-07-28,9,71,12,10,2,False
2024-08-04,9,60,12,10,1,False
2024-08-11,9,60,13,10,1,False
2024-08-18,9,60,12,9,2,False
2024-08-25,9,60,12,9,1,False
2024-09-01,9,59,13,8,1,False
2024-09-08,9,56,13,8,1,False
2024-09-15,9,58,14,8,1,False
2024-09-22,8,58,14,8,1,False
2024-09-29,9,57,15,8,1,False
2024-10-06,9,56,15,8,1,False
2024-10-13,9,57,16,7,1,False
2024-10-20,10,74,16,8,1,False
2024-10-27,10,66,18,8,1,False
2024-11-03,10,62,17,7,1,False
2024-11-10,10,65,19,8,1,False
2024-11-17,10,69,19,8,1,False
2024-11-24,11,73,22,8,1,False
2024-12-01,12,75,27,7,1,False
2024-12-08,12,75,30,8,1,False
2024-12-15,14,80,38,8,1,False
2024-12-22,17,100,52,9,1,False
2024-12-29,16,89,46,9,1,False
2025-01-05,13,67,33,8,1,False
2025-01-12,13,70,34,8,1,False
2025-01-19,13,69,32,8,1,False
2025-01-26,14,83,40,9,1,False
2025-02-02,14,76,39,9,1,False
2025-02-09,13,75,37,8,1,False
2025-02-16,13,76,33,8,1,False
2025-02-23,13,79,31,9,1,False
2025-03-02,13,74,28,9,1,False
2025-03-09,13,72,26,9,1,False
2025-03-16,13,77,23,9,1,False
2025-03-23,12,79,20,9,1,False
2025-03-30,12,76,20,8,1,False
2025-04-06,12,65,19,9,1,False
2025-04-13,11,69,17,9,1,False
2025-04-20,12,70,18,9,1,False
2025-04-27,11,64,16,8,1,False
2025-05-04,10,60,16,8,1,False
2025-05-11,10,63,15,9,1,False
2025-05-18,11,60,14,8,1,False
2025-05-25,10,61,14,9,1,False
2025-06-01,10,60,13,9,1,False
2025-06-08,10,59,12,9,1,False
2025-06-15,10,57,12,10,1,False
2025-06-22,9,58,12,12,1,False
2025-06-29,9,56,11,11,1,False
2025-07-06,10,59,12,11,1,False
2025-07-13,10,60,11,11,1,False
2025-07-20,10,60,10,10,1,False
2025-07-27,10,59,11,11,1,False
2025-08-03,10,60,11,9,1,False
2025-08-10,10,59,11,10,1,False
2025-08-17,11,60,11,9,1,False
2025-08-24,10,58,11,8,1,False
2025-08-31,10,56,11,8,1,False
2025-09-07,11,57,11,9,1,False
2025-09-14,16,65,11,13,1,False
2025-09-21,18,67,13,13,1,False
2025-09-28,11,59,12,8,1,False
2025-10-05,12,57,13,10,1,False
2025-10-12,12,59,13,10,1,False
2025-10-19,12,58,14,8,1,False
2025-10-26,12,59,14,8,1,False
2025-11-02,12,59,14,8,1,False
2025-11-09,13,63,18,8,1,False
2025-11-16,14,64,17,11,1,False
2025-11-23,15,66,17,10,1,False
2025-11-30,14,65,19,12,1,False
2025-12-07,14,66,22,12,1,False
2025-12-14,17,66,26,12,1,False
2025-12-21,17,77,34,10,1,False
2025-12-28,17,79,33,12,1,False
2026-01-04,14,67,27,12,1,False
2026-01-11,15,68,24,13,1,False
2026-01-18,15,68,23,13,1,False
2026-01-25,16,70,21,16,1,False
2026-02-01,13,75,22,20,1,False
2026-02-08,13,99,23,40,1,True
