query,value
tooth infection spreading,100
fungal infection spreading,53
tooth infection spreading symptoms,30
symptoms of tooth infection spreading,19
signs of a tooth infection spreading,7
symptoms of tooth infection spreading to heart,2
fungal infection spreading in us,1
