indicator,indicator_code,country_code,region,region_code,year,value,value_str,low,high
tb_smear_treatment_success,MDG_0000000031,UGA,Africa,AFR,2002,60.0,60,,
tb_smear_treatment_success,MDG_0000000031,YEM,Eastern Mediterranean,EMR,1999,74.0,74,,
tb_smear_treatment_success,MDG_0000000031,WPR,,,1996,72.0,72,,
tb_smear_treatment_success,MDG_0000000031,CZE,Europe,EUR,2011,69.0,69,,
tb_smear_treatment_success,MDG_0000000031,AUT,Europe,EUR,2005,75.0,75,,
tb_smear_treatment_success,MDG_0000000031,SLV,Americas,AMR,1999,78.0,78,,
tb_smear_treatment_success,MDG_0000000031,HND,Americas,AMR,2010,85.0,85,,
tb_smear_treatment_success,MDG_0000000031,MKD,Europe,EUR,2005,84.0,84,,
tb_smear_treatment_success,MDG_0000000031,LBN,Eastern Mediterranean,EMR,2001,91.0,91,,
tb_smear_treatment_success,MDG_0000000031,GNQ,Africa,AFR,1994,89.0,89,,
tb_smear_treatment_success,MDG_0000000031,SYR,Eastern Mediterranean,EMR,2003,88.0,88,,
tb_smear_treatment_success,MDG_0000000031,MMR,South-East Asia,SEAR,2005,84.0,84,,
tb_smear_treatment_success,MDG_0000000031,BGR,Europe,EUR,2011,86.0,86,,
tb_smear_treatment_success,MDG_0000000031,SLE,Africa,AFR,1999,75.0,75,,
tb_smear_treatment_success,MDG_0000000031,GTM,Americas,AMR,2003,91.0,91,,
tb_smear_treatment_success,MDG_0000000031,MDA,Europe,EUR,2010,57.0,57,,
tb_smear_treatment_success,MDG_0000000031,ROU,Europe,EUR,2002,74.0,74,,
tb_smear_treatment_success,MDG_0000000031,ESP,Europe,EUR,2011,73.0,73,,
tb_smear_treatment_success,MDG_0000000031,LBN,Eastern Mediterranean,EMR,1994,89.0,89,,
tb_smear_treatment_success,MDG_0000000031,BHR,Eastern Mediterranean,EMR,2006,86.0,86,,
tb_smear_treatment_success,MDG_0000000031,PER,Americas,AMR,2002,92.0,92,,
tb_smear_treatment_success,MDG_0000000031,SUR,Americas,AMR,2000,68.0,68,,
tb_smear_treatment_success,MDG_0000000031,KIR,Western Pacific,WPR,2011,94.0,94,,
tb_smear_treatment_success,MDG_0000000031,BTN,South-East Asia,SEAR,2009,92.0,92,,
tb_smear_treatment_success,MDG_0000000031,BRB,Americas,AMR,2010,100.0,100,,
tb_smear_treatment_success,MDG_0000000031,ALB,Europe,EUR,2002,84.0,84,,
tb_smear_treatment_success,MDG_0000000031,GEO,Europe,EUR,1996,73.0,73,,
tb_smear_treatment_success,MDG_0000000031,SLB,Western Pacific,WPR,2007,92.0,92,,
tb_smear_treatment_success,MDG_0000000031,CIV,Africa,AFR,2005,74.0,74,,
tb_smear_treatment_success,MDG_0000000031,MLT,Europe,EUR,1999,75.0,75,,
tb_smear_treatment_success,MDG_0000000031,ROU,Europe,EUR,2001,75.0,75,,
tb_smear_treatment_success,MDG_0000000031,COD,Africa,AFR,2006,86.0,86,,
tb_smear_treatment_success,MDG_0000000031,LCA,Americas,AMR,2008,94.0,94,,
tb_smear_treatment_success,MDG_0000000031,WB_UMI,,,2003,82.0,82,,
tb_smear_treatment_success,MDG_0000000031,ARM,Europe,EUR,2008,73.0,73,,
tb_smear_treatment_success,MDG_0000000031,GBR,Europe,EUR,2005,68.0,68,,
tb_smear_treatment_success,MDG_0000000031,UZB,Europe,EUR,2003,85.0,85,,
tb_smear_treatment_success,MDG_0000000031,AFG,Eastern Mediterranean,EMR,1999,86.0,86,,
tb_smear_treatment_success,MDG_0000000031,NAM,Africa,AFR,2011,84.0,84,,
tb_smear_treatment_success,MDG_0000000031,JOR,Eastern Mediterranean,EMR,1995,92.0,92,,
tb_smear_treatment_success,MDG_0000000031,GIN,Africa,AFR,2008,78.0,78,,
tb_smear_treatment_success,MDG_0000000031,EMR,,,1998,57.0,57,,
tb_smear_treatment_success,MDG_0000000031,HRV,Europe,EUR,2003,38.0,38,,
tb_smear_treatment_success,MDG_0000000031,GUY,Americas,AMR,2001,73.0,73,,
tb_smear_treatment_success,MDG_0000000031,ROU,Europe,EUR,2000,70.0,70,,
tb_smear_treatment_success,MDG_0000000031,FSM,Western Pacific,WPR,2011,96.0,96,,
tb_smear_treatment_success,MDG_0000000031,FJI,Western Pacific,WPR,1996,86.0,86,,
tb_smear_treatment_success,MDG_0000000031,ARG,Americas,AMR,1995,12.0,12,,
tb_smear_treatment_success,MDG_0000000031,NLD,Europe,EUR,1995,72.0,72,,
tb_smear_treatment_success,MDG_0000000031,GNB,Africa,AFR,2005,69.0,69,,
tb_smear_treatment_success,MDG_0000000031,DMA,Americas,AMR,1996,100.0,100,,
tb_smear_treatment_success,MDG_0000000031,AZE,Europe,EUR,2010,77.0,77,,
tb_smear_treatment_success,MDG_0000000031,BRA,Americas,AMR,1999,78.0,78,,
tb_smear_treatment_success,MDG_0000000031,DNK,Europe,EUR,2000,86.0,86,,
tb_smear_treatment_success,MDG_0000000031,MOZ,Africa,AFR,1999,71.0,71,,
tb_smear_treatment_success,MDG_0000000031,OMN,Eastern Mediterranean,EMR,2006,86.0,86,,
tb_smear_treatment_success,MDG_0000000031,NPL,South-East Asia,SEAR,2007,88.0,88,,
tb_smear_treatment_success,MDG_0000000031,ISL,Europe,EUR,2006,50.0,50,,
tb_smear_treatment_success,MDG_0000000031,NRU,Western Pacific,WPR,2001,100.0,100,,
tb_smear_treatment_success,MDG_0000000031,DJI,Eastern Mediterranean,EMR,2003,73.0,73,,
tb_smear_treatment_success,MDG_0000000031,STP,Africa,AFR,2006,94.0,94,,
tb_smear_treatment_success,MDG_0000000031,PRT,Europe,EUR,2003,84.0,84,,
tb_smear_treatment_success,MDG_0000000031,CHL,Americas,AMR,2000,82.0,82,,
tb_smear_treatment_success,MDG_0000000031,SWE,Europe,EUR,2000,79.0,79,,
tb_smear_treatment_success,MDG_0000000031,CZE,Europe,EUR,2010,69.0,69,,
tb_smear_treatment_success,MDG_0000000031,ISL,Europe,EUR,1995,100.0,100,,
tb_smear_treatment_success,MDG_0000000031,MKD,Europe,EUR,1999,83.0,83,,
tb_smear_treatment_success,MDG_0000000031,MLT,Europe,EUR,2009,80.0,80,,
tb_smear_treatment_success,MDG_0000000031,SWE,Europe,EUR,2005,74.0,74,,
tb_smear_treatment_success,MDG_0000000031,GIN,Africa,AFR,2009,79.0,79,,
tb_smear_treatment_success,MDG_0000000031,ARE,Eastern Mediterranean,EMR,2002,79.0,79,,
tb_smear_treatment_success,MDG_0000000031,SWZ,Africa,AFR,2002,47.0,47,,
tb_smear_treatment_success,MDG_0000000031,RWA,Africa,AFR,2002,58.0,58,,
tb_smear_treatment_success,MDG_0000000031,DJI,Eastern Mediterranean,EMR,2007,81.0,81,,
tb_smear_treatment_success,MDG_0000000031,OMN,Eastern Mediterranean,EMR,2001,90.0,90,,
tb_smear_treatment_success,MDG_0000000031,ATG,Americas,AMR,2010,33.0,33,,
tb_smear_treatment_success,MDG_0000000031,MDV,South-East Asia,SEAR,2002,95.0,95,,
tb_smear_treatment_success,MDG_0000000031,BRA,Americas,AMR,2003,77.0,77,,
tb_smear_treatment_success,MDG_0000000031,PNG,Western Pacific,WPR,1998,63.0,63,,
tb_smear_treatment_success,MDG_0000000031,SEAR,,,2003,79.0,79,,
tb_smear_treatment_success,MDG_0000000031,AUT,Europe,EUR,2010,65.0,65,,
tb_smear_treatment_success,MDG_0000000031,JOR,Eastern Mediterranean,EMR,2002,89.0,89,,
tb_smear_treatment_success,MDG_0000000031,SEN,Africa,AFR,1998,48.0,48,,
tb_smear_treatment_success,MDG_0000000031,SAU,Eastern Mediterranean,EMR,1999,73.0,73,,
tb_smear_treatment_success,MDG_0000000031,COG,Africa,AFR,2000,69.0,69,,
tb_smear_treatment_success,MDG_0000000031,MDV,South-East Asia,SEAR,2010,82.0,82,,
tb_smear_treatment_success,MDG_0000000031,LAO,Western Pacific,WPR,1996,55.0,55,,
tb_smear_treatment_success,MDG_0000000031,GHA,Africa,AFR,2006,76.0,76,,
tb_smear_treatment_success,MDG_0000000031,CZE,Europe,EUR,2000,70.0,70,,
tb_smear_treatment_success,MDG_0000000031,VUT,Western Pacific,WPR,2006,90.0,90,,
tb_smear_treatment_success,MDG_0000000031,AUS,Western Pacific,WPR,2003,80.0,80,,
tb_smear_treatment_success,MDG_0000000031,BFA,Africa,AFR,2002,64.0,64,,
tb_smear_treatment_success,MDG_0000000031,HTI,Americas,AMR,1998,67.0,67,,
tb_smear_treatment_success,MDG_0000000031,GIN,Africa,AFR,2010,80.0,80,,
tb_smear_treatment_success,MDG_0000000031,SEAR,,,2005,87.0,87,,
tb_smear_treatment_success,MDG_0000000031,RWA,Africa,AFR,2007,86.0,86,,
tb_smear_treatment_success,MDG_0000000031,MHL,Western Pacific,WPR,2003,90.0,90,,
tb_smear_treatment_success,MDG_0000000031,MLI,Africa,AFR,2002,50.0,50,,
tb_smear_treatment_success,MDG_0000000031,MOZ,Africa,AFR,1996,55.0,55,,
tb_smear_treatment_success,MDG_0000000031,TLS,South-East Asia,SEAR,2006,79.0,79,,
tb_smear_treatment_success,MDG_0000000031,NAM,Africa,AFR,2004,68.0,68,,
tb_smear_treatment_success,MDG_0000000031,EMR,,,2009,88.0,88,,
tb_smear_treatment_success,MDG_0000000031,MYS,Western Pacific,WPR,2002,76.0,76,,
tb_smear_treatment_success,MDG_0000000031,CIV,Africa,AFR,1999,63.0,63,,
tb_smear_treatment_success,MDG_0000000031,BFA,Africa,AFR,1997,61.0,61,,
tb_smear_treatment_success,MDG_0000000031,THA,South-East Asia,SEAR,2009,86.0,86,,
tb_smear_treatment_success,MDG_0000000031,HRV,Europe,EUR,2004,46.0,46,,
tb_smear_treatment_success,MDG_0000000031,PNG,Western Pacific,WPR,2001,67.0,67,,
tb_smear_treatment_success,MDG_0000000031,SYR,Eastern Mediterranean,EMR,2008,86.0,86,,
tb_smear_treatment_success,MDG_0000000031,MYS,Western Pacific,WPR,2000,78.0,78,,
tb_smear_treatment_success,MDG_0000000031,YEM,Eastern Mediterranean,EMR,2002,80.0,80,,
tb_smear_treatment_success,MDG_0000000031,BEN,Africa,AFR,2006,86.0,86,,
tb_smear_treatment_success,MDG_0000000031,QAT,Eastern Mediterranean,EMR,1998,84.0,84,,
tb_smear_treatment_success,MDG_0000000031,KNA,Americas,AMR,2006,100.0,100,,
tb_smear_treatment_success,MDG_0000000031,AFR,,,1999,68.0,68,,
tb_smear_treatment_success,MDG_0000000031,NGA,Africa,AFR,2007,82.0,82,,
tb_smear_treatment_success,MDG_0000000031,SOM,Eastern Mediterranean,EMR,2008,81.0,81,,
tb_smear_treatment_success,MDG_0000000031,COM,Africa,AFR,1995,90.0,90,,
tb_smear_treatment_success,MDG_0000000031,CZE,Europe,EUR,1995,60.0,60,,
tb_smear_treatment_success,MDG_0000000031,BGD,South-East Asia,SEAR,2008,91.0,91,,
tb_smear_treatment_success,MDG_0000000031,TZA,Africa,AFR,1996,76.0,76,,
tb_smear_treatment_success,MDG_0000000031,WB_HI,,,1998,75.0,75,,
tb_smear_treatment_success,MDG_0000000031,SYR,Eastern Mediterranean,EMR,2001,81.0,81,,
tb_smear_treatment_success,MDG_0000000031,PAK,Eastern Mediterranean,EMR,1994,69.0,69,,
tb_smear_treatment_success,MDG_0000000031,UZB,Europe,EUR,2007,79.0,79,,
tb_smear_treatment_success,MDG_0000000031,LBN,Eastern Mediterranean,EMR,2005,92.0,92,,
tb_smear_treatment_success,MDG_0000000031,WB_LI,,,2006,84.0,84,,
tb_smear_treatment_success,MDG_0000000031,VNM,Western Pacific,WPR,1996,89.0,89,,
tb_smear_treatment_success,MDG_0000000031,NLD,Europe,EUR,1996,81.0,81,,
tb_smear_treatment_success,MDG_0000000031,PAN,Americas,AMR,1995,69.0,69,,
tb_smear_treatment_success,MDG_0000000031,WB_UMI,,,2006,84.0,84,,
tb_smear_treatment_success,MDG_0000000031,LTU,Europe,EUR,2007,70.0,70,,
tb_smear_treatment_success,MDG_0000000031,BDI,Africa,AFR,1995,45.0,45,,
tb_smear_treatment_success,MDG_0000000031,OMN,Eastern Mediterranean,EMR,2005,90.0,90,,
tb_smear_treatment_success,MDG_0000000031,PRT,Europe,EUR,2006,87.0,87,,
tb_smear_treatment_success,MDG_0000000031,UKR,Europe,EUR,1995,83.0,83,,
tb_smear_treatment_success,MDG_0000000031,PAK,Eastern Mediterranean,EMR,1998,23.0,23,,
tb_smear_treatment_success,MDG_0000000031,SLB,Western Pacific,WPR,1996,73.0,73,,
tb_smear_treatment_success,MDG_0000000031,SDN,Eastern Mediterranean,EMR,2008,81.0,81,,
tb_smear_treatment_success,MDG_0000000031,CMR,Africa,AFR,2001,62.0,62,,
tb_smear_treatment_success,MDG_0000000031,CIV,Africa,AFR,2001,72.0,72,,
tb_smear_treatment_success,MDG_0000000031,COD,Africa,AFR,2003,83.0,83,,
tb_smear_treatment_success,MDG_0000000031,PAN,Americas,AMR,2006,79.0,79,,
