indicator,indicator_code,country_code,region,region_code,year,value,value_str,low,high
tb_incidence,MDG_0000000020,VEN,Americas,AMR,2014,29.0,29 [23-34],23.0,34.0
tb_incidence,MDG_0000000020,SEN,Africa,AFR,2017,152.0,152 [92-298],92.0,298.0
tb_incidence,MDG_0000000020,NPL,South-East Asia,SEAR,2009,320.0,320 [179-500],179.0,500.0
tb_incidence,MDG_0000000020,COM,Africa,AFR,2000,51.0,51 [27-128],27.0,128.0
tb_incidence,MDG_0000000020,KIR,Western Pacific,WPR,2024,945.0,945 [769-1140],769.0,1140.0
tb_incidence,MDG_0000000020,PAK,Eastern Mediterranean,EMR,2003,276.0,276 [174-400],174.0,400.0
tb_incidence,MDG_0000000020,CYP,Europe,EUR,2012,7.6,7.6 [6.2-9.1],6.2,9.1
tb_incidence,MDG_0000000020,MOZ,Africa,AFR,2013,361.0,361 [223-532],223.0,532.0
tb_incidence,MDG_0000000020,POL,Europe,EUR,2000,46.0,46 [38-56],38.0,56.0
tb_incidence,MDG_0000000020,TZA,Africa,AFR,2006,504.0,504 [123-1150],123.0,1150.0
tb_incidence,MDG_0000000020,NER,Africa,AFR,2021,80.0,80 [50-153],50.0,153.0
tb_incidence,MDG_0000000020,LBR,Africa,AFR,2003,216.0,216 [118-517],118.0,517.0
tb_incidence,MDG_0000000020,TGO,Africa,AFR,2008,91.0,91 [52-199],52.0,199.0
tb_incidence,MDG_0000000020,SOM,Eastern Mediterranean,EMR,2020,171.0,171 [105-330],105.0,330.0
tb_incidence,MDG_0000000020,ETH,Africa,AFR,2017,179.0,179 [85-307],85.0,307.0
tb_incidence,MDG_0000000020,TKM,Europe,EUR,2007,110.0,110 [90-133],90.0,133.0
tb_incidence,MDG_0000000020,TTO,Americas,AMR,2024,27.0,27 [22-32],22.0,32.0
tb_incidence,MDG_0000000020,AGO,Africa,AFR,2003,434.0,434 [238-1040],238.0,1040.0
tb_incidence,MDG_0000000020,WPR,,,2003,158.0,158 [138-180],138.0,180.0
tb_incidence,MDG_0000000020,CHN,Western Pacific,WPR,2010,76.0,76 [62-91],62.0,91.0
tb_incidence,MDG_0000000020,PNG,Western Pacific,WPR,2004,741.0,741 [294-6220],294.0,6220.0
tb_incidence,MDG_0000000020,TJK,Europe,EUR,2018,86.0,86 [70-104],70.0,104.0
tb_incidence,MDG_0000000020,GRD,Americas,AMR,2013,2.1,2.1 [1.7-2.6],1.7,2.6
tb_incidence,MDG_0000000020,TGO,Africa,AFR,2011,81.0,81 [47-175],47.0,175.0
tb_incidence,MDG_0000000020,AUT,Europe,EUR,2010,9.8,9.8 [8-12],8.0,12.0
tb_incidence,MDG_0000000020,IRQ,Eastern Mediterranean,EMR,2003,66.0,66 [53-80],53.0,80.0
tb_incidence,MDG_0000000020,CIV,Africa,AFR,2012,193.0,193 [112-408],112.0,408.0
tb_incidence,MDG_0000000020,ARE,Eastern Mediterranean,EMR,2015,1.0,1 [0.84-1.2],0.84,1.2
tb_incidence,MDG_0000000020,GEO,Europe,EUR,2013,143.0,143 [116-172],116.0,172.0
tb_incidence,MDG_0000000020,CZE,Europe,EUR,2008,10.0,10 [8.3-12],8.3,12.0
tb_incidence,MDG_0000000020,OMN,Eastern Mediterranean,EMR,2018,7.7,7.7 [6.3-9.3],6.3,9.3
tb_incidence,MDG_0000000020,SWZ,Africa,AFR,2023,326.0,326 [175-499],175.0,499.0
tb_incidence,MDG_0000000020,WB_LMI,,,2014,247.0,247 [206-291],206.0,291.0
tb_incidence,MDG_0000000020,ECU,Americas,AMR,2021,41.0,41 [33-49],33.0,49.0
tb_incidence,MDG_0000000020,SLE,Africa,AFR,2021,395.0,395 [242-761],242.0,761.0
tb_incidence,MDG_0000000020,GIN,Africa,AFR,2016,177.0,177 [105-360],105.0,360.0
tb_incidence,MDG_0000000020,SDN,Eastern Mediterranean,EMR,2022,54.0,54 [35-78],35.0,78.0
tb_incidence,MDG_0000000020,ZWE,Africa,AFR,2000,605.0,605 [166-1320],166.0,1320.0
tb_incidence,MDG_0000000020,ARE,Eastern Mediterranean,EMR,2009,3.0,3 [2.4-3.6],2.4,3.6
tb_incidence,MDG_0000000020,COM,Africa,AFR,2022,29.0,29 [18-56],18.0,56.0
tb_incidence,MDG_0000000020,CPV,Africa,AFR,2010,117.0,117 [95-141],95.0,141.0
tb_incidence,MDG_0000000020,MNG,Western Pacific,WPR,2023,448.0,448 [243-713],243.0,713.0
tb_incidence,MDG_0000000020,COL,Americas,AMR,2007,43.0,43 [35-52],35.0,52.0
tb_incidence,MDG_0000000020,HUN,Europe,EUR,2001,43.0,43 [35-52],35.0,52.0
tb_incidence,MDG_0000000020,HRV,Europe,EUR,2019,9.3,9.3 [7.6-11],7.6,11.0
tb_incidence,MDG_0000000020,MEX,Americas,AMR,2010,28.0,28 [23-34],23.0,34.0
tb_incidence,MDG_0000000020,SLE,Africa,AFR,2019,412.0,412 [252-793],252.0,793.0
tb_incidence,MDG_0000000020,AND,Europe,EUR,2020,2.6,2.6 [2.1-3.1],2.1,3.1
tb_incidence,MDG_0000000020,TLS,South-East Asia,SEAR,2007,837.0,837 [428-2420],428.0,2420.0
tb_incidence,MDG_0000000020,CYP,Europe,EUR,2010,8.0,8 [6.5-9.7],6.5,9.7
tb_incidence,MDG_0000000020,WSM,Western Pacific,WPR,2004,18.0,18 [15-22],15.0,22.0
tb_incidence,MDG_0000000020,SLB,Western Pacific,WPR,2021,108.0,108 [88-130],88.0,130.0
tb_incidence,MDG_0000000020,CAF,Africa,AFR,2023,428.0,428 [265-805],265.0,805.0
tb_incidence,MDG_0000000020,ESP,Europe,EUR,2009,20.0,20 [16-24],16.0,24.0
tb_incidence,MDG_0000000020,CIV,Africa,AFR,2001,180.0,180 [96-455],96.0,455.0
tb_incidence,MDG_0000000020,ISL,Europe,EUR,2006,4.3,4.3 [3.5-5.2],3.5,5.2
tb_incidence,MDG_0000000020,VNM,Western Pacific,WPR,2009,239.0,239 [119-398],119.0,398.0
tb_incidence,MDG_0000000020,IRN,Eastern Mediterranean,EMR,2018,15.0,15 [12-18],12.0,18.0
tb_incidence,MDG_0000000020,SYC,Africa,AFR,2003,11.0,11 [9.3-14],9.3,14.0
tb_incidence,MDG_0000000020,UKR,Europe,EUR,2022,87.0,87 [69-105],69.0,105.0
tb_incidence,MDG_0000000020,CPV,Africa,AFR,2005,126.0,126 [102-152],102.0,152.0
tb_incidence,MDG_0000000020,GNB,Africa,AFR,2024,176.0,176 [108-337],108.0,337.0
tb_incidence,MDG_0000000020,TTO,Americas,AMR,2010,23.0,23 [18-27],18.0,27.0
tb_incidence,MDG_0000000020,LSO,Africa,AFR,2023,584.0,584 [337-878],337.0,878.0
tb_incidence,MDG_0000000020,LBR,Africa,AFR,2019,249.0,249 [152-479],152.0,479.0
tb_incidence,MDG_0000000020,NER,Africa,AFR,2001,94.0,94 [48-261],48.0,261.0
tb_incidence,MDG_0000000020,WB_UMI,,,2002,140.0,140 [123-159],123.0,159.0
tb_incidence,MDG_0000000020,BGD,South-East Asia,SEAR,2002,221.0,221 [161-291],161.0,291.0
tb_incidence,MDG_0000000020,MNE,Europe,EUR,2024,16.0,16 [13-20],13.0,20.0
tb_incidence,MDG_0000000020,TUN,Eastern Mediterranean,EMR,2006,38.0,38 [31-46],31.0,46.0
tb_incidence,MDG_0000000020,EUR,,,2024,22.0,22 [19-25],19.0,25.0
tb_incidence,MDG_0000000020,LSO,Africa,AFR,2012,1040.0,1040 [459-1860],459.0,1860.0
tb_incidence,MDG_0000000020,AFR,,,2002,371.0,371 [303-446],303.0,446.0
tb_incidence,MDG_0000000020,ALB,Europe,EUR,2008,16.0,16 [13-19],13.0,19.0
tb_incidence,MDG_0000000020,SRB,Europe,EUR,2005,69.0,69 [57-84],57.0,84.0
tb_incidence,MDG_0000000020,COK,Western Pacific,WPR,2010,0.0,0 [0-0],0.0,0.0
tb_incidence,MDG_0000000020,WB_UMI,,,2008,129.0,129 [110-148],110.0,148.0
tb_incidence,MDG_0000000020,SLV,Americas,AMR,2006,44.0,44 [36-53],36.0,53.0
tb_incidence,MDG_0000000020,BRB,Americas,AMR,2007,5.9,5.9 [4.8-7.1],4.8,7.1
tb_incidence,MDG_0000000020,MDV,South-East Asia,SEAR,2018,43.0,43 [35-51],35.0,51.0
tb_incidence,MDG_0000000020,VNM,Western Pacific,WPR,2011,225.0,225 [119-363],119.0,363.0
tb_incidence,MDG_0000000020,MCO,Europe,EUR,2015,0.0,0 [0-0],0.0,0.0
tb_incidence,MDG_0000000020,ISR,Europe,EUR,2012,8.3,8.3 [6.8-10],6.8,10.0
tb_incidence,MDG_0000000020,CAN,Americas,AMR,2019,5.6,5.6 [4.6-6.7],4.6,6.7
tb_incidence,MDG_0000000020,KEN,Africa,AFR,2008,564.0,564 [169-1190],169.0,1190.0
tb_incidence,MDG_0000000020,MNE,Europe,EUR,2014,27.0,27 [22-32],22.0,32.0
tb_incidence,MDG_0000000020,KGZ,Europe,EUR,2012,186.0,186 [151-224],151.0,224.0
tb_incidence,MDG_0000000020,IRQ,Eastern Mediterranean,EMR,2018,27.0,27 [22-32],22.0,32.0
tb_incidence,MDG_0000000020,NIU,Western Pacific,WPR,2024,55.0,55 [45-66],45.0,66.0
tb_incidence,MDG_0000000020,POL,Europe,EUR,2009,28.0,28 [23-34],23.0,34.0
tb_incidence,MDG_0000000020,BFA,Africa,AFR,2014,70.0,70 [43-134],43.0,134.0
tb_incidence,MDG_0000000020,SAU,Eastern Mediterranean,EMR,2004,19.0,19 [17-20],17.0,20.0
tb_incidence,MDG_0000000020,ARM,Europe,EUR,2020,29.0,29 [23-35],23.0,35.0
tb_incidence,MDG_0000000020,JAM,Americas,AMR,2000,12.0,12 [9.9-15],9.9,15.0
tb_incidence,MDG_0000000020,JOR,Eastern Mediterranean,EMR,2014,6.4,6.4 [5.2-7.7],5.2,7.7
tb_incidence,MDG_0000000020,FJI,Western Pacific,WPR,2008,24.0,24 [20-29],20.0,29.0
tb_incidence,MDG_0000000020,ROU,Europe,EUR,2017,81.0,81 [66-98],66.0,98.0
tb_incidence,MDG_0000000020,SSD,Africa,AFR,2016,376.0,376 [232-711],232.0,711.0
tb_incidence,MDG_0000000020,MCO,Europe,EUR,2005,0.73,0.73 [0.59-0.88],0.59,0.88
tb_incidence,MDG_0000000020,ZWE,Africa,AFR,2024,203.0,203 [129-272],129.0,272.0
tb_incidence,MDG_0000000020,ROU,Europe,EUR,2015,94.0,94 [76-113],76.0,113.0
tb_incidence,MDG_0000000020,SSD,Africa,AFR,2024,320.0,320 [197-605],197.0,605.0
tb_incidence,MDG_0000000020,ITA,Europe,EUR,2017,7.5,7.5 [6.1-9.1],6.1,9.1
